,What is your gender?,What is your current level of education?,With whom did you spend your lockdown days?,"Do you think the pandemic and the subsequent lockdown has altered your outlook on life? If yes, whether negatively or positively?",Has the lockdown had an impact on your physical health?,Rate your lockdown experiences on a scale of 1-5  based on the following feelings. ,How often did you do something productive?,Did you do anything for academic improvement?,How did you spend most of your time during the lockdown,Did you do anything for fun and recreation? ,"The average number of hours you spent on social media, in a day? ",How have your eating habits changed?,How has your body weight changed through the lockdown?,Did you experience a loss of appetite?,How often did you exercise?,What made up most of your diet?,To what do you most attribute your eating behavior?,Choose the word that best describes your lockdown experience.,How did you feel in regards to your studies or career?,How do/ did you feel most of the time?,Did you experience a tragic loss of something important?,How often did you indulge in the things you liked to do before?,How would you describe your sleep cycle?,Describe your relationship with your family and friends.,Have ever suffered from a mental illness? if yes what course of action was taken? if not choose NA 1,Have ever suffered from a mental illness? if yes  what course of action was taken? if not choose NA 2,"Please write a very short summary of your lockdown experience in terms of your physical, mental, and emotional health.",Editor's note: We hope you liked our questionnaire; Let us know how much.,,Output Level (1-5),Remarks (section wise rating: I+ II+ III+ IV+ V),
07/09/2020 9:05,Female,Under graduate,At home with family,No effect,Yes,3,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Not at all,Never,Regular home cooked food,Hunger,Humbling,Motivated,Satisfied,No,Sometimes,Normal,Comforting and warm,NA,NA,Good,4,,2.16=2,0.4+0.39+0.46+0.61+0.3,
07/09/2020 9:37,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,1,Never,No,"Household chores, Sleeping",No,1-2 hours,I under eat,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Anxious,Moody,No,Sometimes,Oversleeping,Fun and expressive,No,No,"In lockdown  very important  is to make social  distancing,and awareness for the healthy life.",1,,3.27=3,0.5+0.49+0.81+0.59+0.88,
07/09/2020 9:51,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Hunger,Chaotic,Motivated,"Happy, Satisfied",Yes,Often,Disturbed,Fun and expressive,NA,No,It is going well,3,,2.61=3,0.35+0.33+0.39+0.65+0.89,
07/09/2020 10:03,Female,Under graduate,At home with family,No effect,Maybe,4,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping",No,1-2 hours,I under eat,I've lost weight,Significantly,Somedays,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Satisfied,Yes,Rarely,Disturbed,Comforting and warm,NA,NA,"Physically it was ok as I lost some weight which I really wanted to do . Mentally, there was no problems at all as I enjoyed being at home .",4,,2.67=3,.04+0.28+0.59+0.69+0.71,
07/09/2020 10:08,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Often,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",More than 6 hours,I eat in regulation,I've lost weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Anxious,"Happy, Agitated/ Irritable, Moody, Sad",Yes,Often,Oversleeping,Formal and unyielding,NA,Yes,"Physically I had become lazy but sometimes do work, mentally tired of hearing bad news and repetitive negative circumstances. My Emotional health is good balances every bad situation but controlled.",4,,4.04=4,0.4+0.48+0.76+0.59+1.81,
07/09/2020 10:09,Male,Class 10-12,At home with family,"Yes, i'm more optimistic now",Yes,4,Sometimes,Yes,"Studying /being academically inclined, Gaming, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,Happy,Yes,Sometimes,Normal,Fun and expressive,NA,NA,Overall Good🙂👍,5,,2.4=2,0.45+0.27+0.36+0.76+0.56,
07/09/2020 10:09,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,Gaming,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've gained weight,Somewhat,Somedays,Fried/ junk food,Hunger,Humbling,Didn't think about it,Agitated/ Irritable,Yes,Sometimes,Disturbed,Comforting and warm,Yes,Yes,Cggv,3,,3.95=4,0.35+0.17+0.81+0.71+1.91,
07/09/2020 10:16,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,4,Sometimes,Yes,"Household chores, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Humbling,Excited,"Happy, Sad",Yes,Sometimes,Normal,Fun and expressive,NA,NA,"Sweet ,sour sometimes boring",5,,2.95=3,0.4+0.48+0.39+0.79+0.89,
07/09/2020 10:54,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Never,Regular home cooked food,Hunger,Pleasant,Motivated,Happy,No,Often,Oversleeping,Fun and expressive,NA,NA,Lockdown gave us golden time to learn something. Physically and mentally also emotional health is important. And i am very satisfied with it.,4,,2.16=2,0.4+0.31+0.55+0.34+0.56,
07/09/2020 11:47,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Sometimes,Yes,"Studying /being academically inclined, Gaming, Household chores","Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,I've lost weight,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Moody,No,Sometimes,Normal,Fun and expressive,NA,NA,Good,2,,1.96=2,0.35+0.34+0.36+0.36+0.55,
07/09/2020 12:07,Female,Under graduate,At home with family,No effect,No,2,Rarely,Yes,Sleeping,No,3-4 hours,I under eat,Unchanged,Somewhat,Never,Regular home cooked food,Hunger,Numb,Anxious,Agitated/ Irritable,No,Rarely,Disturbed,Formal and unyielding,NA,NA,Boring lockdown experience. ,4,,3.13=3,0.4+0.42+0.76+0.56+0.99,
07/09/2020 13:23,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Often,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I under eat,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Chaotic,Excited,Moody,No,Sometimes,Normal,Comforting and warm,NA,NA,i learned more about myself and tried to balance my opinions ,3,,2.68=3,0.4+0.39+0.68+0.44+0.77,
07/09/2020 13:43,Male,Under graduate,At hostel/flat with friends,"Yes, i'm more optimistic now",Maybe,4,Often,Yes,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",More than 6 hours,I under eat,I've lost weight,Significantly,Regularly,Regular home cooked food,Boredom,Humbling,Motivated,Agitated/ Irritable,No,Often,Disturbed,Fun and expressive,NA,NA,"It has given me time, to think about the stuff other than studies like hobbies or indulging in any new one.",4,,2.87=3,0.4+0.29+0.81+0.59+0.78,
07/09/2020 13:50,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Directionless,"Satisfied, Moody",No,Often,Disturbed,Fun and expressive,NA,NA,Blend of both enthusiasm and warmth + boredom and chaotic,4,,2.65=3,0.4+0.39+0.31+0.73+0.82,
07/09/2020 13:58,Male,Under graduate,At home with family,No effect,Yes,2,Sometimes,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I eat in regulation,Unchanged,Somewhat,Never,Regular home cooked food,Emotional distress,Numb,Anxious,"Agitated/ Irritable, Sad",Yes,Rarely,Lack of sleep,Toxic and Argumentative,No,Yes,"Physical health deteriorated, mentally exhausted , emotionally drained",5,,3.92=4,0.35+0.46+0.39+0.73+1.99,
07/09/2020 14:18,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,2,Often,No,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Hunger,Chaotic,Anxious,"Agitated/ Irritable, Moody",No,Rarely,Normal,Comforting and warm,No,Yes,To nd fro,3,,3.72=4,0.35+0.49+0.44+0.56+1.88,
07/09/2020 14:18,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,3,Sometimes,Yes,"Gaming, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",3-4 hours,I overeat,Unchanged,Not much,Somedays,Regular home cooked food,Boredom,Numb,Anxious,Moody,No,Sometimes,Oversleeping,Comforting and warm,NA,NA,It was a challenge at first but it left me realising a lot of things that are important.,3,,4.27=4,0.5+0.38+0.79+0.71+1.89,
07/09/2020 14:19,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Rarely,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Not at all,Somedays,Regular home cooked food,Hunger,Pleasant,Excited,"Happy, Satisfied",No,Sometimes,Normal,Comforting and warm,NA,NA,I improved as a person,5,,1.88=2,0.4+0.24+0.57+0.34+0.33,
07/09/2020 14:20,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",Maybe,3,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Less than 1 hour,I under eat,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Satisfied",No,Often,Normal,Comforting and warm,NA,NA,"Its a bit of both the faces of the coin. Its being productive as well as as considering the academic point of view , we arent getting any details about what will be the process next",4,,2.12=2,0.5+0.33+0.39+0.58+0.32,
07/09/2020 14:27,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,"Studying /being academically inclined, Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Anxious,Moody,Yes,Sometimes,Oversleeping,Fun and expressive,NA,NA,NA,5,,2.68=3,0.4+0.37+0.54+0.49+0.88,
07/09/2020 14:50,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,Yes,"Studying /being academically inclined, Gaming, Household chores",No,1-2 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Directionless,Moody,No,Sometimes,Normal,Comforting and warm,NA,NA,"It was fun being with family initially, But as time passed, Got confused about the career choices. ",4,,2.65=3,0.4+0.37+0.58+0.47+0.83,
07/09/2020 14:51,Female,Class 10-12,At home with family,No effect,Maybe,5,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",Almost 6 hours,I under eat,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Anxious,Satisfied,No,Often,Disturbed,Fun and expressive,NA,NA,"It was fun .I did many things I liked but lockdown actually did not affected me much as I usually stay at home and do almost the same thing, just had more time with family.",5,,2.9=3,0.5+0.22+0.79+0.66+0.73,
07/09/2020 14:53,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,3,Sometimes,Yes,"Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Not much,Regularly,Regular home cooked food,Emotional distress,Chaotic,Anxious,Moody,Yes,Sometimes,Oversleeping,Formal and unyielding,NA,Yes,Physical health was great as I was working out daily but mental was stable because of the physical aspect and emotional health was a rollercoaster.,5,,3.79=4,0.35+0.41+0.58+0.68+1.77,
07/09/2020 15:14,Female,Class 10-12,At home with family,No effect,No,4,Quite often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Not at all,Somedays,Regular home cooked food,Boredom,Humbling,Motivated,Satisfied,No,Sometimes,Normal,Fun and expressive,NA,NA,It was good,5,,1.95=2,0.5+0.28+0.49+0.34+0.34,
07/09/2020 15:14,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",No,3,Sometimes,Yes,Gaming,"Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've gained weight,Not much,Regularly,Regular home cooked food,Hunger,Humbling,Didn't think about it,"Agitated/ Irritable, Moody",No,Sometimes,Disturbed,Comforting and warm,NA,NA,It was normal,3,,2.77=3,0.35+0.42+0.88+0.39+0.73,
07/09/2020 15:20,Female,Class 10-12,At home with family,"Yes, i'm more optimistic now",No,3,Often,Yes,"Household chores, Netflix or Other OTT, Sleeping",No,Almost 6 hours,I overeat,Unchanged,Somewhat,Never,Regular home cooked food,Hunger,Chaotic,Directionless,"Happy, Satisfied, Moody, Sad",Yes,Rarely,Disturbed,Comforting and warm,No,No,It is very creative for me...i learnt so many things in this lockdown..,5,,3.19=3,0.5+0.31+0.91+0.49+0.98,
07/09/2020 15:41,Male,Under graduate,At home with family,No effect,Yes,4,Sometimes,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping",No,1-2 hours,I eat in regulation,I've gained weight,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Didn't think about it,Satisfied,No,Sometimes,Normal,Fun and expressive,No,No,Good,5,,2.0=2,0.35+0.29+0.56+0.45+0.35,
07/09/2020 15:48,Female,Under graduate,At home with family,No effect,Yes,4,Quite often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I under eat,I've lost weight,Significantly,Regularly,Regular home cooked food,Hunger,Pleasant,Excited,Satisfied,No,Sometimes,Disturbed,Comforting and warm,NA,NA,All I missed during the lockdown was gym. I was okay with everything else. ,4,,2.64=3,0.4+0.29+0.49+0.79+0.67,
07/09/2020 16:20,Male,Postgraduate,At home with family,No effect,No,1,Sometimes,No,"Gaming, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,Unchanged,Not at all,Somedays,Fried/ junk food,Hunger,Chaotic,Didn't think about it,"Agitated/ Irritable, Moody",Yes,Sometimes,Lack of sleep,Comforting and warm,No,Yes,"After some days it felt quite chaotic ,started having mood swings but after speaking with my family and friends it has become better",5,,4.17=4,0.3+0.42+0.92+0.77+1.76,
07/09/2020 16:44,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,2,Sometimes,Yes,"Household chores, Netflix or Other OTT","Yes, I pursued my hobbies",1-2 hours,I overeat,I've gained weight,Not much,Somedays,Regular home cooked food,Boredom,Chaotic,Anxious,"Agitated/ Irritable, Moody",Yes,Sometimes,Disturbed,Toxic and Argumentative,No,No,Exhausting. ,4,,3.58=4,0.4+0.51+0.79+0.89+0.99,
07/09/2020 16:53,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,2,Sometimes,Yes,"Studying /being academically inclined, Household chores","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Emotional distress,Pleasant,Didn't think about it,Happy,No,Never,Lack of sleep,Fun and expressive,NA,No,"physically fit, mentally fit and emotional health is not affected",2,,2.62=3,0.35+0.39+0.73+0.59+0.56,
07/09/2020 17:07,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Often,Yes,"Studying /being academically inclined, Household chores, Sleeping","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,I've lost weight,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Excited,Moody,Yes,Sometimes,Normal,Comforting and warm,NA,NA,It was good ,3,,2..64=3,0.4+0.36+0.41+0.65+0.82,
07/09/2020 17:43,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,3,Rarely,No,"Gaming, Sleeping",No,3-4 hours,I overeat,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Numb,Anxious,Satisfied,Yes,Sometimes,Normal,Comforting and warm,No,No,Just boring experience but quiet interesting as it teaches me only family is important which help u in every situation.,4,,3.05=3,0.35+0.37+0.83+0.61+0.89,
07/09/2020 17:57,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Maybe,5,Often,Yes,Studying /being academically inclined,"Yes, I pursued my hobbies",1-2 hours,I under eat,Unchanged,Not much,Regularly,Regular home cooked food,Boredom,Humbling,Excited,Moody,No,Often,Lack of sleep,Fun and expressive,No,Yes,I am happy,5,,3.17=3,0.4+0.19+0.49+0.68+1.41,
07/09/2020 17:59,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,3,Sometimes,No,"Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I overeat,I've gained weight,Not at all,Somedays,Regular home cooked food,Boredom,Chaotic,Motivated,Agitated/ Irritable,No,Sometimes,Disturbed,Formal and unyielding,No,Yes,It’s just a lot of motivation  somedays and sometime very demotivated. Everyone faced mental issue hut luckily i har my friend to interact with. ,5,,4.17=4,0.4+0.32+0.79+0.89+1.77,
07/09/2020 18:00,Female,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,2,Rarely,Yes,Netflix or Other OTT,No,More than 6 hours,I eat in regulation,Unchanged,Somewhat,Regularly,Regular home cooked food,Boredom,Chaotic,Anxious,Agitated/ Irritable,No,Sometimes,Disturbed,Formal and unyielding,No,Yes,It was tiring ,4,,4.37=4,0.4+0.52+0.89+0.59+1.97,
07/09/2020 18:02,Female,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Humbling,Directionless,"Satisfied, Moody",No,Sometimes,Disturbed,Comforting and warm,NA,NA,It was okay.,3,,2.62=3,0.4+0.29+0.69+0.49+0.75,
07/09/2020 18:08,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",No,3,Quite often,Yes,"Studying /being academically inclined, Gaming, Household chores","Yes, I pursued my hobbies",1-2 hours,I eat in regulation,Unchanged,Somewhat,Somedays,Regular home cooked food,Hunger,Humbling,Motivated,"Satisfied, Agitated/ Irritable",Yes,Sometimes,Disturbed,Comforting and warm,No,Yes,It has brought me the much needed alone time. Dreadful at first now that I think about it it's given me time to work on myself realize what I want in life. It's made me do things I was putting off,4,,3.41=3,0.35+0.29+0.68+0.44+1.65,
07/09/2020 18:11,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,5,Often,Yes,"Studying /being academically inclined, Gaming, Household chores","Yes, I pursued my hobbies",Less than 1 hour,I under eat,I've gained weight,Not much,Never,Regular home cooked food,Hunger,Pleasant,Motivated,"Happy, Satisfied",No,Often,Disturbed,Fun and expressive,NA,NA,All perfectly fine. ,5,,2.64=3,0.35+0.18+0.66+0.76+0.69,
07/09/2020 18:41,Male,Under graduate,At home with family,"Yes, i'm more pessimistic now",Yes,1,Never,No,"Gaming, Sleeping",No,Less than 1 hour,I overeat,I've gained weight,Somewhat,Never,Regular home cooked food,Hunger,Humbling,Directionless,Happy,Yes,Rarely,Oversleeping,Fun and expressive,NA,NA,Lockdown sucks ,5,,3.62=4,0.35+0.59+0.99+0.88+0.81,
07/09/2020 18:42,Female,Class 10-12,At home with family,No effect,No,3,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT, Sleeping","Yes, I pursued my hobbies",3-4 hours,I eat in regulation,Unchanged,Not much,Somedays,Regular home cooked food,Hunger,Pleasant,Motivated,Satisfied,No,Sometimes,Disturbed,Fun and expressive,NA,NA,It was neither stressing nor relieving,5,,2.61=3,0.5+0.38+0.58+0.46+0.69,
07/09/2020 18:44,Male,Under graduate,At home with family,"Yes, i'm more optimistic now",Yes,4,Quite often,Yes,"Studying /being academically inclined, Netflix or Other OTT","Yes, I pursued my hobbies",Almost 6 hours,I eat in regulation,I've gained weight,Somewhat,Somedays,Regular home cooked food,Hunger,Pleasant,Didn't think about it,Moody,Yes,Sometimes,Disturbed,Comforting and warm,NA,NA,Good,4,,2.67=3,0.35+0.29+0.56+0.68+0.79,
